$PACKAGES
TCON_5x4mm!TCON_5x4mm! TCON_5x4MM; B1
0603!0603! 0.1uF/16V; C602
0603!0603! 0.1uF/16V; C603
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C604
0603!0603! 820pF/16V; C605
0603!0603! 0.1uF/16V; C606
0603!0603! 0.082uF/16V; C607
1210!1210! 47uF/6.3V; C608
1210!1210! 47uF/6.3V; C609
1210!1210! 47uF/6.3V; C610
1210!1210! 47uF/6.3V; C611
0603!0603! 0.1uF/16V; C612
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C613
1210!1210! 47uF/6.3V; C614
1210!1210! 47uF/6.3V; C615
0603!0603! 0.1uF/16V; C616
0603!0603! 0.1uF/16V; C617
0805!0805! 4.7uF/16V; C618
0603!0603! 1uF/16V; C619
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C620
CA_SMD_6P3X7P7!CA_SMD_6P3X7P7! 100uF/35V; C621
1210!1210! 22uF/16V; C622
0603!0603! 0.1uF/16V; C623
0603!0603! 0.1uF/16V; C624
1210!1210! 22uF/16V; C625
0603!0603! 0.1uF/16V; C626
0603!0603! 0.1uF/16V; C627
0603!0603! 0.1uF/16V; C628
0603!0603! 0.1uF/16V; C645
0603!0603! 0.1uF/16V; C646
0603!0603! 0.1uF/16V; C647
0603!0603! 0.1uF/16V; C648
0603!0603! 0.1uF/16V; C649
0603!0603! 0.1uF/16V; C650
0603!0603! 0.1uF/16V; C651
0603!0603! 0.1uF/16V; C652
0603!0603! 0.1uF/16V; C653
0603!0603! 0.1uF/16V; C654
0603!0603! 0.1uF/16V; C655
0603!0603! 0.1uF/16V; C656
0603!0603! 0.1uF/16V; C657
0603!0603! 0.1uF/16V; C658
0603!0603! 0.1uF/16V; C659
0603!0603! 0.1uF/16V; C660
0603!0603! 0.1uF/16V; C661
0603!0603! 0.1uF/16V; C663
0603!0603! 0.1uF/16V; C665
0603!0603! 0.1uF/16V; C667
0603!0603! 0.1uF/16V; C669
0603!0603! 0.1uF/16V; C671
0603!0603! 0.1uF/16V; C673
0603!0603! 0.1uF/16V; C675
0603!0603! 0.1uF/16V; C7
0603!0603! 0.1uF/16V; C8
0805!0805! 22uF/6.3V; C83
0603!0603! 0.1uF/16V; C84
0805!0805! 22uF/6.3V; C85
0603!0603! 0.1uF/16V; C86
0805!0805! 22uF/6.3V; C87
0603!0603! 0.1uF/16V; C9
SOD323!SOD323! MM3Z3V3T1G; D1
SOD323!SOD323! MM3Z3V3T1G; D2
LED-0603!LED-0603! WR-PB1608G-L08; D25
LED-0603!LED-0603! WR-PB1608G-L08; D26
LED-0603!LED-0603! WR-PB1608G-L08; D27
LED-0603!LED-0603! WR-PB1608G-L08; D28
LED-0603!LED-0603! WR-PB1608G-L08; D29
DIP-SA5CA-P12_7!DIP-SA5CA-P12_7! SA5.0CA; D3
SOD323!SOD323! PESD5V0S1BA-115; D31
SOD323!SOD323! PESD5V0S1BA-115; D32
SOD323!SOD323! PESD5V0S1BA-115; D33
SOD323!SOD323! PESD5V0S1BA-115; D34
LED-0603!LED-0603! WR-PB1608G-L08; D35
DO213-P3R4!DO213-P3R4! LL4148; D36
DO213-P3R4!DO213-P3R4! LL4148; D37
SMC!SMC! SMCJ14A-13-F; D38
DIP-SA5CA-P12_7!DIP-SA5CA-P12_7! SA5.0CA; D4
0603!0603! 300/0.2_2A; FB1
0603!0603! 33/0.1_1A; FB10
0603!0603! 300/0.2_2A; FB11
0603!0603! 300/0.2_2A; FB12
0603!0603! 300/0.2_2A; FB2
1206!1206! 200/0.1_3A; FB22
1206!1206! 200/0.1_3A; FB23
0603!0603! 300/0.2_2A; FB25
0603!0603! 300/0.2_2A; FB26
0603!0603! 300/0.2_2A; FB27
0603!0603! 300/0.2_2A; FB28
1206!1206! 200/0.1_3A; FB29
0603!0603! 300/0.2_2A; FB3
1206!1206! 200/0.1_3A; FB30
0603!0603! 33/0.1_1A; FB31
0603!0603! 33/0.1_1A; FB32
0603!0603! 300/0.2_2A; FB33
0603!0603! 300/0.2_2A; FB34
0603!0603! 300/0.2_2A; FB35
0603!0603! 300/0.2_2A; FB36
0603!0603! 300/0.2_2A; FB37
0603!0603! 300/0.2_2A; FB38
0603!0603! 300/0.2_2A; FB39
0603!0603! 300/0.2_2A; FB4
1206!1206! 200/0.1_3A; FB40
1206!1206! 200/0.1_3A; FB41
1206!1206! 200/0.1_3A; FB42
1206!1206! 200/0.1_3A; FB43
0603!0603! 300/0.2_2A; FB44
0603!0603! 300/0.2_2A; FB45
0603!0603! 300/0.2_2A; FB46
0603!0603! 300/0.2_2A; FB5
0603!0603! 33/0.1_1A; FB54
0603!0603! 33/0.1_1A; FB55
1206!1206! 200/0.1_3A; FB59
0603!0603! 33/0.1_1A; FB6
1206!1206! 200/0.1_3A; FB60
1206!1206! 200/0.1_3A; FB61
1206!1206! 200/0.1_3A; FB62
1206!1206! 200/0.1_3A; FB63
1206!1206! 200/0.1_3A; FB64
1206!1206! 200/0.1_3A; FB65
1206!1206! 200/0.1_3A; FB66
1206!1206! 200/0.1_3A; FB67
0603!0603! 300/0.2_2A; FB68
0603!0603! 300/0.2_2A; FB69
0603!0603! 33/0.1_1A; FB7
0603!0603! 300/0.2_2A; FB70
0603!0603! 33/0.1_1A; FB8
0603!0603! 33/0.1_1A; FB9
POWER_2P_4p2!POWER_2P_4p2! POWER_JUMP_2P_4P2; J1
DB9-HM!DB9-HM! DT10121-P34; J10
SO_DIMM_192_h8mm!SO_DIMM_192_h8mm! SO_DIMM_DDR2_DDR3_H8MM; J11
USB-A!USB-A! USB01-A; J12
HEADER5X2!HEADER5X2! Header5X2 2.54mm DNS; J13
SO_DIMM_192_h8mm!SO_DIMM_192_h8mm! SO_DIMM_DDR2_DDR3_H8MM; J14
Header4x1_2P54!Header4x1_2P54! Header4x1_2P54; J15
HALF_VIA_212P_CON_56D!HALF_VIA_212P_CON_56D! HALF_VIA_212P_56D; J16
RJ45LED!RJ45LED! E5J88-P4L213; J17
FAN_DIP_2_2P0!FAN_DIP_2_2P0! FAN_HEADER; J18
USB-A!USB-A! USB01-A; J19
DVI_DOUBLE!DVI_DOUBLE! DVI-I; J2
FAN_DIP_2_2P0!FAN_DIP_2_2P0! FAN_HEADER; J20
SATA7-DIP1P27-B!SATA7-DIP1P27-B! SATA7-DIP1P27-A; J21
DIP_SIP16_P2R54S!DIP_SIP16_P2R54S! XH_16P_180_2.54MM; J22
sata_power_dip4_5mm!sata_power_dip4_5mm! SATA_PWR; J23
HEADER7x1_2P54S!HEADER7x1_2P54S! XH_7P_180_2.54MM; J24
POWER_4P_4P2!POWER_4P_4P2! POWER_JUMP_4P_4P2; J26
FAN_DIP_2_2P0!FAN_DIP_2_2P0! FAN_HEADER; J27
FAN_DIP_2_2P0!FAN_DIP_2_2P0! FAN_HEADER; J28
RJ45LED!RJ45LED! E5J88-P4L213; J29
HDMI!HDMI! HDMI_CON-A; J3
POWER_2P_4p2!POWER_2P_4p2! POWER_JUMP_2P_4P2; J4
RJ45LED!RJ45LED! E5J88-P4L213; J5
POWER_2P_4p2!POWER_2P_4p2! POWER_JUMP_2P_4P2; J6
CON_RCA2X2T10_28X15!CON_RCA2X2T10_28X15! RCA413-EP-01; J7
POWER_2P_4p2!POWER_2P_4p2! POWER_JUMP_2P_4P2; J8
HEADER5X2!HEADER5X2! HEADER2X5P-2.54mm; J9
MS104R!MS104R! MS104R-100MT; L6
MS104R!MS104R! MS104R-100MT; L7
MS127!MS127! MS127-2R4MT; L8
MS127!MS127! MS127-2R4MT; L9
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M1
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M10
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M2
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M3
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M4
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M5
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M6
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M7
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M8
th_oblong_31x50mm!th_oblong_31x50mm! M_OBLONG_31X50MM; M9
SOT23_3_W2R4_P0R95!SOT23_3_W2R4_P0R95! MMBT3904LT1; Q1
SOT23_3_W2R4_P0R95!SOT23_3_W2R4_P0R95! MMBT3904LT1; Q2
SOT23_3_W2R4_P0R95!SOT23_3_W2R4_P0R95! MMBT3904LT1; Q3
SOT23_3_W2R4_P0R95!SOT23_3_W2R4_P0R95! MMBT3904LT1; Q4
0603!0603! 2K/1%; R1
0603!0603! 100/5%; R10
0603!0603! 120/5%; R11
0603!0603! 33/5%; R110
0603!0603! 33/5%; R111
0603!0603! 0/5%; R112
0603!0603! 0/5%; R113
0603!0603! 4.7K/5%; R117
0603!0603! 4.7K/5%; R118
0603!0603! 4.7K/5%; R119
0603!0603! 10K/5%; R12
0603!0603! 0/5% DNS; R120
0603!0603! 0/5% DNS; R121
0603!0603! 510/5%; R122
0603!0603! 510/5%; R123
0603!0603! 22/5%; R124
0603!0603! 22/5%; R125
0603!0603! 1K/5%; R126
0603!0603! 1.5K/5%; R127
0603!0603! 510/5%; R128
0603!0603! 4.7K/5%; R129
0603!0603! 10K/5%; R13
0603!0603! 4.7K/5%; R130
0603!0603! 4.7K/5%; R131
0603!0603! 33/5%; R132
0603!0603! 33/5%; R133
0603!0603! 33/5%; R134
0603!0603! 33/5%; R135
0603!0603! 33/5%; R136
0603!0603! 4.7K/5%; R137
0603!0603! 1K/5%; R138
0603!0603! 1K/5%; R139
0603!0603! 75/1%; R14
0603!0603! 1K/5%; R140
0603!0603! 510/5%; R145
0603!0603! 510/5%; R146
0603!0603! 75/1%; R15
0603!0603! 75/1%; R16
0603!0603! 4.7K/5%; R160
0603!0603! 4.7K/5%; R161
0603!0603! 4.7K/5%; R162
0603!0603! 100K/5%; R163
0603!0603! 4.7K/5%; R17
0603!0603! 2.49K/1%; R172
0603!0603! 10K/5%; R176
0603!0603! 1K/1%; R177
0603!0603! 10K/5%; R178
0603!0603! 10K/5%; R179
0603!0603! 4.7K/5%; R18
0603!0603! 24/1%; R180
0603!0603! 4.7K/5%; R181
0603!0603! 4.7K/5%; R182
0603!0603! 4.7K/5%; R183
0603!0603! 4.7K/5%; R184
0603!0603! 4.7K/5%; R185
0603!0603! 4.7K/5%; R186
0603!0603! 4.7K/5%; R187
0603!0603! 4.7K/5%; R188
0603!0603! 4.7K/5%; R189
0603!0603! 1K/5%; R19
0603!0603! 4.7K/5%; R190
0603!0603! 4.7K/5%; R191
0603!0603! 4.7K/5%; R192
0603!0603! 4.7K/5%; R193
0603!0603! 10K/5%; R195
0603!0603! 10K/5%; R196
0603!0603! 10K/5%; R197
0603!0603! 300/5%; R198
0603!0603! 10K/5%; R199
0603!0603! 4.7K/5%; R2
0603!0603! 100/5%; R20
0603!0603! 1M/5%; R202
0603!0603! 100/5%; R21
0603!0603! 80.6K/1%; R211
0603!0603! 12.1K/1%; R212
0603!0603! 1K/5%; R213
0603!0603! 1K/5%; R214
0603!0603! 510/5%; R215
0603!0603! 510/5%; R216
0603!0603! 75/1%; R217
0603!0603! 75/1%; R218
0603!0603! 75/1%; R219
0603!0603! 4.7K/5%; R22
0603!0603! 75/1%; R220
0603!0603! 510/5%; R221
0603!0603! 510/5%; R222
0603!0603! 75/1%; R223
0603!0603! 75/1%; R224
0603!0603! 4.7K/5%; R23
0603!0603! 4.7K/5%; R230
0603!0603! 4.7K/5%; R231
0603!0603! 33/5%; R232
0603!0603! 100K/5%; R233
0603!0603! 100K/5%; R234
0603!0603! 4.99K/1%; R235
0603!0603! 4.99K/1%; R236
0603!0603! 4.99K/1%; R237
0603!0603! 4.99K/1%; R238
0603!0603! 100K/5%; R239
0603!0603! 51/1%; R24
0603!0603! 100K/5%; R240
0603!0603! 24.3K/1%; R241
0603!0603! 5.1K/1%; R242
0603!0603! 5.1K/1%; R243
0603!0603! 24.3K/1%; R244
0603!0603! 560/5%; R245
0603!0603! 560/5%; R246
0603!0603! 470K/5%; R247
0603!0603! 47K/5%; R248
0603!0603! 100K/5%; R249
0603!0603! 24/1%; R25
0603!0603! 470K/5%; R250
0603!0603! 100K/5%; R251
0603!0603! 5.6K/5%; R252
0603!0603! 2.2K/5%; R253
0603!0603! 4.7K/5%; R254
0603!0603! 0/5%; R255
0603!0603! 0/5%; R256
0603!0603! 510/5%; R257
0603!0603! 51/1%; R26
0603!0603! 100K/5%; R262
0603!0603! 51/1%; R27
0603!0603! 100K/5%; R275
0603!0603! 100K/5%; R276
0603!0603! 11.8K/1%; R277
0603!0603! 3K/1%; R278
0603!0603! 39K/1%; R279
0603!0603! 24/1%; R28
0603!0603! 39K/1%; R280
0603!0603! 6.8K/5%; R281
0603!0603! 6.8K/5%; R282
0603!0603! 120/5%; R283
0603!0603! 10K/1%; R284
0603!0603! 100K/5%; R285
0603!0603! 680/5%; R286
0603!0603! 1.33K/1%; R287
0603!0603! 120/5%; R288
0603!0603! 10K/1%; R289
0603!0603! 24/1%; R29
0603!0603! 100K/5%; R290
0603!0603! 680/5%; R291
0603!0603! 2.15K/1%; R292
0603!0603! 75/1%; R293
0603!0603! 75/1%; R294
0603!0603! 4.7K/5%; R3
0603!0603! 510/5%; R30
0603!0603! 1K/5%; R309
0603!0603! 510/5%; R31
0603!0603! 1K/5%; R310
0603!0603! 1K/5%; R311
0603!0603! 1K/5%; R312
0603!0603! 1K/5%; R313
0603!0603! 1K/5%; R314
0603!0603! 1K/5%; R315
0603!0603! 1K/5%; R316
0603!0603! 1K/5%; R317
0603!0603! 1K/5%; R318
0603!0603! 1K/5%; R319
0603!0603! 10K/5%; R32
0603!0603! 1K/5%; R320
0603!0603! 1K/5%; R321
0603!0603! 1K/5%; R322
0603!0603! 1K/5%; R323
0603!0603! 1K/5%; R324
0603!0603! 1K/5%; R325
0603!0603! 1K/5%; R326
0603!0603! 1K/5%; R327
0603!0603! 1K/5%; R328
0603!0603! 1K/5%; R329
0603!0603! 10K/5%; R33
0603!0603! 1K/5%; R330
0603!0603! 1K/5%; R331
0603!0603! 1K/5%; R332
0603!0603! 10K/5%; R34
0603!0603! 10K/5%; R35
0603!0603! 10K/5%; R36
0603!0603! 4.7K/5%; R37
0603!0603! 100/5%; R38
0603!0603! 10K/5%; R39
0603!0603! 33/5%; R4
0603!0603! 4.7K/5%; R40
0603!0603! 1K/5%; R41
0603!0603! 499/1%; R42
0603!0603! 10K/5%; R43
0603!0603! 10K/5%; R44
0603!0603! 1K/5%; R45
0603!0603! 1K/5%; R46
0603!0603! 0/5%; R47
0603!0603! 0/5%; R48
0603!0603! 1K/5%; R49
0603!0603! 33/5%; R5
0603!0603! 1M/5%; R50
0603!0603! 10K/5%; R51
0603!0603! 10K/5%; R52
0603!0603! 10K/5%; R53
0603!0603! 4.7K/5%; R6
0603!0603! 4.7K/5%; R7
0603!0603! 4.7K/5%; R8
0603!0603! 4.7K/5%; R9
SM-RP4!SM-RP4! 22/5%; RN2
SM-RP4!SM-RP4! 22/5%; RN3
SM-RP4!SM-RP4! 22/5%; RN4
SLP2510P8!SLP2510P8! RCLAMP0524P; U1
SOT23-6A!SOT23-6A! SRV05-4; U10
